Cos Distance,x1y1,x2y2
0.16841695997731343,[26. 76. 32.],[977. 299.  32.]
0.1686916995889124,[ 34. 110.  32.],[781.87195 196.62144  53.81737]
0.16939758631459434,[ 67.85714  164.83975   38.054626],[893.8785  708.7059   90.50967]
0.16988500482657798,[264.2857    64.03846   38.054626],[360. 244. 128.]
0.1698908671214402,[320. 154.  32.],[100. 268.  32.]
0.1712086247133735,[131.  34.  32.],[588.50574 282.32822  53.81737]
0.17202265045706566,[ 76. 169.  32.],[124.464096 220.64088   45.254833]
0.17287791839369582,[66. 54. 32.],[ 55.160225 118.80663   45.254833]
0.17355671167550712,[125. 102.  32.],[317.7931  529.3654   53.81737]
0.17444257847447775,[119. 168.  32.],[ 83.25203  747.7894    38.054626]
0.17491498138784034,[318.  89.  32.],[308.0325   367.35602   38.054626]
0.17628240427452935,[ 81. 148.  32.],[419. 722.  32.]
0.18001719237238722,[110.71429   52.17949   38.054626],[564. 287.  32.]
0.18012432380178656,[ 17. 131.  32.],[469.12317 216.78775  53.81737]
0.18140822149133962,[315.4762   142.3077    38.054626],[317. 747.  32.]
0.18490990556172204,[326.19046  143.49359   38.054626],[538. 404.  32.]
0.1861574397604554,[170.2381    33.205128  38.054626],[106. 435.  32.]
0.1867288836260511,[ 33. 154.  32.],[290.19278  387.56656   38.054626]
0.18977114867914635,[ 89. 158.  32.],[723. 510.  32.]
0.19077868800994313,[ 45. 118.  32.],[958.9393   195.18233   45.254833]
0.19412838374088714,[132.  75.  32.],[114.17421  243.71516   38.054626]
0.19525799390795062,[185. 136.  32.],[ 95. 601.  32.]
0.19705433546471762,[292. 163.  32.],[858. 435.  32.]
0.19751458312562797,[ 71. 117.  32.],[551.60223 454.58823  90.50967]
0.19753020856137515,[187.  36.  32.],[290. 646.  32.]
0.1988772229029494,[172. 109.  32.],[635.04974  595.4475    45.254833]
0.19917435613401357,[149. 146.  32.],[182.94199 656.2477   76.10925]
0.1992882129146858,[204.  50.  32.],[299. 258.  32.]
0.2007082464297727,[323.8095    75.89744   38.054626],[556.5993   382.81113   38.054626]
0.20127793361588553,[328.  65.  32.],[576.      252.63158 107.63474]
0.20413463677272403,[157. 145.  32.],[213. 660.  32.]
0.20518203015466052,[325.        39.134617  38.054626],[874.1463   298.40247   38.054626]
0.205506089112526,[210.71428  138.75      38.054626],[132. 596. 128.]
0.2067755706244505,[266.66666  160.09616   38.054626],[227. 361.  32.]
0.20716887000036732,[140. 169.  32.],[447. 701.  32.]
0.2099883726061501,[245. 154.  32.],[486.54144  530.3868    45.254833]
0.210618719711283,[ 68. 156.  32.],[299. 621.  32.]
0.21076567144366076,[166. 140.  32.],[224. 646.  64.]
0.21300229983738417,[186.  67.  32.],[128. 276. 128.]
0.21316041167612443,[30. 65. 32.],[362.741    252.03714   38.054626]
0.21343306720128064,[305.95236   40.320515  38.054626],[602.98254  359.03406   38.054626]
0.21753118770550905,[326.  50.  32.],[594.03314 194.82353  90.50967]
0.2188215657620679,[ 25. 140.  32.],[203.  80.  32.]
